trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
AM1-Mon,4512,5,Inbound,"",1,340676,14963,
AM1-TF,4512,4,Inbound,"",1,340671,14963,
AM2-Mon,3702,5,Inbound,"",0,340677,14967,
AM2-TF,3702,4,Inbound,"",0,340672,14967,
AM3-Mon,3706,5,Inbound,"",1,340678,17646,
AM3-TF,3706,4,Inbound,"",1,340673,17646,
AM4-Mon,3707,5,Inbound,"",1,340679,17644,
AM4-TF,3707,4,Inbound,"",1,340674,17644,
AM5-Mon,3701,5,Inbound,"",0,340680,14966,
AM5-TF,3701,4,Inbound,"",0,340675,14966,
Apt-S1-T1,3139,1,Loop,"",0,340654,20133,
Apt-S1-T2,3139,1,Loop,"",0,340654,20133,
Apt-S1-T3,3139,1,Loop,"",0,340654,20133,
Apt-S1-T4,3139,1,Loop,"",0,340654,20133,
Apt-S1-T5,3139,1,Loop,"",0,340654,20133,
Apt-S1-T6,3139,1,Loop,"",0,340654,20133,
Apt-S2-T1,3139,1,Loop,"",0,340655,20133,
Apt-S2-T2,3139,1,Loop,"",0,340655,20133,
Apt-S2-T3,3139,1,Loop,"",0,340655,20133,
Apt-S2-T4,3139,1,Loop,"",0,340655,20133,
Apt-S2-T5,3139,1,Loop,"",0,340655,20133,
Apt-S2-T6,3139,1,Loop,"",0,340655,20133,
Apt-S3-T1,3139,1,Loop,"",0,340656,20133,
Apt-S3-T2,3139,1,Loop,"",0,340656,20133,
Apt-S3-T3,3139,1,Loop,"",0,340656,20133,
Apt-S3-T4,3139,1,Loop,"",0,340656,20133,
Apt-S3-T5,3139,1,Loop,"",0,340656,20133,
Apt-S3-T6,3139,1,Loop,"",0,340656,20133,
AptA-T1,3139,1,Loop,"",0,340651,20133,
AptA-T10,3139,1,Loop,"",0,340651,20133,
AptA-T11,3139,1,Loop,"",0,340651,20133,
AptA-T12,3139,1,Loop,"",0,340651,20133,
AptA-T13,3139,1,Loop,"",0,340651,20133,
AptA-T14,3139,1,Loop,"",0,340651,20133,
AptA-T15,3139,1,Loop,"",0,340651,20133,
AptA-T16,3139,1,Loop,"",0,340651,20133,
AptA-T17,3139,1,Loop,"",0,340651,20133,
AptA-T18,3139,1,Loop,"",0,340651,20133,
AptA-T19,3139,1,Loop,"",0,340651,20133,
AptA-T2,3139,1,Loop,"",0,340651,20133,
AptA-T20,3139,1,Loop,"",0,340651,20133,
AptA-T21,3139,1,Loop,"",0,340651,20133,
AptA-T22,3139,1,Loop,"",0,340651,20133,
AptA-T23,3139,1,Loop,"",0,340651,20133,
AptA-T24,3139,1,Loop,"",0,340651,20133,
AptA-T25,3139,1,Loop,"",0,340651,20133,
AptA-T26,3139,1,Loop,"",0,340651,20133,
AptA-T27,3139,1,Loop,"",0,340651,20133,
AptA-T28,3139,1,Loop,"",0,340651,20133,
AptA-T29,3139,1,Loop,"",0,340651,20133,
AptA-T3,3139,1,Loop,"",0,340651,20133,
AptA-T30,3139,1,Loop,"",0,340651,20133,
AptA-T31,3139,1,Loop,"",0,340651,20133,
AptA-T32,3139,1,Loop,"",0,340651,20133,
AptA-T33,3139,1,Loop,"",0,340651,20133,
AptA-T34,3139,1,Loop,"",0,340651,20133,
AptA-T35,3139,1,Loop,"",0,340651,20133,
AptA-T4,3139,1,Loop,"",0,340651,20133,
AptA-T5,3139,1,Loop,"",0,340651,20133,
AptA-T6,3139,1,Loop,"",0,340651,20133,
AptA-T7,3139,1,Loop,"",0,340651,20133,
AptA-T8,3139,1,Loop,"",0,340651,20133,
AptA-T9,3139,1,Loop,"",0,340651,20133,
AptB-T1,3139,1,Loop,"",0,340652,20133,
AptB-T10,3139,1,Loop,"",0,340652,20133,
AptB-T11,3139,1,Loop,"",0,340652,20133,
AptB-T12,3139,1,Loop,"",0,340652,20133,
AptB-T13,3139,1,Loop,"",0,340652,20133,
AptB-T14,3139,1,Loop,"",0,340652,20133,
AptB-T15,3139,1,Loop,"",0,340652,20133,
AptB-T16,3139,1,Loop,"",0,340652,20133,
AptB-T17,3139,1,Loop,"",0,340652,20133,
AptB-T18,3139,1,Loop,"",0,340652,20133,
AptB-T19,3139,1,Loop,"",0,340652,20133,
AptB-T2,3139,1,Loop,"",0,340652,20133,
AptB-T20,3139,1,Loop,"",0,340652,20133,
AptB-T21,3139,1,Loop,"",0,340652,20133,
AptB-T22,3139,1,Loop,"",0,340652,20133,
AptB-T23,3139,1,Loop,"",0,340652,20133,
AptB-T24,3139,1,Loop,"",0,340652,20133,
AptB-T25,3139,1,Loop,"",0,340652,20133,
AptB-T26,3139,1,Loop,"",0,340652,20133,
AptB-T27,3139,1,Loop,"",0,340652,20133,
AptB-T28,3139,1,Loop,"",0,340652,20133,
AptB-T29,3139,1,Loop,"",0,340652,20133,
